seq,is_true,is_ignore,path,x0,x1,y0,y1,col,,json_path
1,False,False,/data/crops/aachen_000012_000019_leftImg8bit_rF_48,1009,1041,410,506,r,,aachen_000012_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000012_000019_leftImg8bit_rF_49,1092,1124,411,507,r,,aachen_000012_000019_gtFine_polygons.json
3,False,False,/data/crops/aachen_000012_000019_leftImg8bit_rF_50,967,999,395,491,r,,aachen_000012_000019_gtFine_polygons.json
4,False,False,/data/crops/aachen_000012_000019_leftImg8bit_rF_51,735,767,402,498,r,,aachen_000012_000019_gtFine_polygons.json
5,False,False,/data/crops/aachen_000012_000019_leftImg8bit_gF_52,532,564,434,530,g,,aachen_000012_000019_gtFine_polygons.json
6,True,False,/data/crops/aachen_000012_000019_leftImg8bit_gT_53,820,852,312,408,g,,aachen_000012_000019_gtFine_polygons.json
7,False,False,/data/crops/aachen_000012_000019_leftImg8bit_gF_54,1085,1117,262,358,g,,aachen_000012_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000013_000019_leftImg8bit_rF_55,1149,1181,107,203,r,,aachen_000013_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000013_000019_leftImg8bit_rF_56,137,169,268,364,r,,aachen_000013_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000013_000019_leftImg8bit_rF_57,176,208,268,364,r,,aachen_000013_000019_gtFine_polygons.json
3,True,False,/data/crops/aachen_000013_000019_leftImg8bit_rT_58,1066,1098,338,434,r,,aachen_000013_000019_gtFine_polygons.json
4,False,False,/data/crops/aachen_000013_000019_leftImg8bit_rF_59,158,190,277,373,r,,aachen_000013_000019_gtFine_polygons.json
5,False,False,/data/crops/aachen_000013_000019_leftImg8bit_rF_60,199,231,271,367,r,,aachen_000013_000019_gtFine_polygons.json
6,False,False,/data/crops/aachen_000013_000019_leftImg8bit_rF_61,188,220,272,368,r,,aachen_000013_000019_gtFine_polygons.json
7,False,False,/data/crops/aachen_000013_000019_leftImg8bit_rF_62,209,241,275,371,r,,aachen_000013_000019_gtFine_polygons.json
8,False,False,/data/crops/aachen_000013_000019_leftImg8bit_rF_63,230,262,277,373,r,,aachen_000013_000019_gtFine_polygons.json
9,False,False,/data/crops/aachen_000013_000019_leftImg8bit_rF_64,179,211,277,373,r,,aachen_000013_000019_gtFine_polygons.json
10,False,False,/data/crops/aachen_000013_000019_leftImg8bit_rF_65,265,297,281,377,r,,aachen_000013_000019_gtFine_polygons.json
11,True,False,/data/crops/aachen_000013_000019_leftImg8bit_rT_66,1384,1416,334,430,r,,aachen_000013_000019_gtFine_polygons.json
12,False,False,/data/crops/aachen_000013_000019_leftImg8bit_gF_67,1541,1573,-60,36,g,,aachen_000013_000019_gtFine_polygons.json
13,False,False,/data/crops/aachen_000013_000019_leftImg8bit_gF_68,1649,1681,-14,82,g,,aachen_000013_000019_gtFine_polygons.json
14,False,False,/data/crops/aachen_000013_000019_leftImg8bit_gF_69,1613,1645,95,191,g,,aachen_000013_000019_gtFine_polygons.json
15,False,False,/data/crops/aachen_000013_000019_leftImg8bit_gF_70,1667,1699,38,134,g,,aachen_000013_000019_gtFine_polygons.json
16,False,False,/data/crops/aachen_000013_000019_leftImg8bit_gF_71,1622,1654,56,152,g,,aachen_000013_000019_gtFine_polygons.json
17,False,False,/data/crops/aachen_000013_000019_leftImg8bit_gF_72,1510,1542,-49,47,g,,aachen_000013_000019_gtFine_polygons.json
18,False,False,/data/crops/aachen_000013_000019_leftImg8bit_gF_73,1244,1276,61,157,g,,aachen_000013_000019_gtFine_polygons.json
19,False,False,/data/crops/aachen_000013_000019_leftImg8bit_gF_74,1336,1368,-38,58,g,,aachen_000013_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000014_000019_leftImg8bit_rF_75,1633,1665,467,563,r,,aachen_000014_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000014_000019_leftImg8bit_gF_76,1190,1222,-58,38,g,,aachen_000014_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000015_000019_leftImg8bit_rF_77,181,213,225,321,r,,aachen_000015_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000015_000019_leftImg8bit_rF_78,1946,1978,280,376,r,,aachen_000015_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000015_000019_leftImg8bit_rF_79,1265,1297,222,318,r,,aachen_000015_000019_gtFine_polygons.json
3,True,False,/data/crops/aachen_000015_000019_leftImg8bit_rT_80,839,871,274,370,r,,aachen_000015_000019_gtFine_polygons.json
4,False,False,/data/crops/aachen_000015_000019_leftImg8bit_rF_81,1959,1991,281,377,r,,aachen_000015_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000016_000019_leftImg8bit_rF_82,915,947,422,518,r,,aachen_000016_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000016_000019_leftImg8bit_rF_83,1006,1038,418,514,r,,aachen_000016_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000016_000019_leftImg8bit_gF_84,90,122,254,350,g,,aachen_000016_000019_gtFine_polygons.json
3,False,False,/data/crops/aachen_000016_000019_leftImg8bit_gF_85,1247,1279,225,321,g,,aachen_000016_000019_gtFine_polygons.json
4,False,False,/data/crops/aachen_000016_000019_leftImg8bit_gF_86,1132,1164,79,175,g,,aachen_000016_000019_gtFine_polygons.json
5,True,True,/data/crops/aachen_000016_000019_leftImg8bit_gi_87,587,619,336,432,g,,aachen_000016_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000017_000019_leftImg8bit_gF_88,16,48,39,135,g,,aachen_000017_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000017_000019_leftImg8bit_gF_89,17,49,-18,78,g,,aachen_000017_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000017_000019_leftImg8bit_gF_90,1150,1182,-60,36,g,,aachen_000017_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000019_000019_leftImg8bit_gF_91,1609,1641,-8,88,g,,aachen_000019_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000021_000019_leftImg8bit_rF_92,870,902,363,459,r,,aachen_000021_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000021_000019_leftImg8bit_gF_93,351,383,193,289,g,,aachen_000021_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000022_000019_leftImg8bit_rF_94,1106,1138,364,460,r,,aachen_000022_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000023_000019_leftImg8bit_rF_95,1841,1873,6,102,r,,aachen_000023_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000023_000019_leftImg8bit_rF_96,1935,1967,269,365,r,,aachen_000023_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000025_000019_leftImg8bit_rF_97,1740,1772,420,516,r,,aachen_000025_000019_gtFine_polygons.json
1,True,False,/data/crops/aachen_000025_000019_leftImg8bit_rT_98,1638,1670,224,320,r,,aachen_000025_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000025_000019_leftImg8bit_rF_99,1605,1637,418,514,r,,aachen_000025_000019_gtFine_polygons.json
3,False,False,/data/crops/aachen_000025_000019_leftImg8bit_rF_100,1683,1715,406,502,r,,aachen_000025_000019_gtFine_polygons.json
4,True,False,/data/crops/aachen_000025_000019_leftImg8bit_rT_101,1362,1394,338,434,r,,aachen_000025_000019_gtFine_polygons.json
5,True,False,/data/crops/aachen_000025_000019_leftImg8bit_gT_102,1862,1894,336,432,g,,aachen_000025_000019_gtFine_polygons.json
0,True,False,/data/crops/aachen_000026_000019_leftImg8bit_rT_103,919,951,269,365,r,,aachen_000026_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000026_000019_leftImg8bit_rF_104,1274,1306,157,253,r,,aachen_000026_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000026_000019_leftImg8bit_rF_105,1164,1196,397,493,r,,aachen_000026_000019_gtFine_polygons.json
3,False,False,/data/crops/aachen_000026_000019_leftImg8bit_rF_106,1144,1176,396,492,r,,aachen_000026_000019_gtFine_polygons.json
4,False,False,/data/crops/aachen_000026_000019_leftImg8bit_rF_107,999,1031,55,151,r,,aachen_000026_000019_gtFine_polygons.json
5,True,False,/data/crops/aachen_000026_000019_leftImg8bit_rT_108,1180,1212,263,359,r,,aachen_000026_000019_gtFine_polygons.json
6,False,False,/data/crops/aachen_000026_000019_leftImg8bit_gF_109,930,962,-38,58,g,,aachen_000026_000019_gtFine_polygons.json
7,False,False,/data/crops/aachen_000026_000019_leftImg8bit_gF_110,1027,1059,31,127,g,,aachen_000026_000019_gtFine_polygons.json
8,False,False,/data/crops/aachen_000026_000019_leftImg8bit_gF_111,1211,1243,-45,51,g,,aachen_000026_000019_gtFine_polygons.json
9,False,False,/data/crops/aachen_000026_000019_leftImg8bit_gF_112,977,1009,-42,54,g,,aachen_000026_000019_gtFine_polygons.json
10,False,False,/data/crops/aachen_000026_000019_leftImg8bit_gF_113,985,1017,28,124,g,,aachen_000026_000019_gtFine_polygons.json
11,False,False,/data/crops/aachen_000026_000019_leftImg8bit_gF_114,1518,1550,-41,55,g,,aachen_000026_000019_gtFine_polygons.json
12,False,False,/data/crops/aachen_000026_000019_leftImg8bit_gF_115,885,917,57,153,g,,aachen_000026_000019_gtFine_polygons.json
13,False,False,/data/crops/aachen_000026_000019_leftImg8bit_gF_116,1268,1300,68,164,g,,aachen_000026_000019_gtFine_polygons.json
14,False,False,/data/crops/aachen_000026_000019_leftImg8bit_gF_117,1278,1310,34,130,g,,aachen_000026_000019_gtFine_polygons.json
15,False,False,/data/crops/aachen_000026_000019_leftImg8bit_gF_118,1289,1321,98,194,g,,aachen_000026_000019_gtFine_polygons.json
16,False,False,/data/crops/aachen_000026_000019_leftImg8bit_gF_119,855,887,38,134,g,,aachen_000026_000019_gtFine_polygons.json
17,False,False,/data/crops/aachen_000026_000019_leftImg8bit_gF_120,1250,1282,141,237,g,,aachen_000026_000019_gtFine_polygons.json
18,False,False,/data/crops/aachen_000026_000019_leftImg8bit_gF_121,1285,1317,35,131,g,,aachen_000026_000019_gtFine_polygons.json
19,False,False,/data/crops/aachen_000026_000019_leftImg8bit_gF_122,1359,1391,-51,45,g,,aachen_000026_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000027_000019_leftImg8bit_gF_123,769,801,409,505,g,,aachen_000027_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000027_000019_leftImg8bit_gF_124,1268,1300,140,236,g,,aachen_000027_000019_gtFine_polygons.json
0,True,False,/data/crops/aachen_000028_000019_leftImg8bit_rT_125,993,1025,361,457,r,,aachen_000028_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000028_000019_leftImg8bit_rF_126,1038,1070,129,225,r,,aachen_000028_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000028_000019_leftImg8bit_rF_127,935,967,413,509,r,,aachen_000028_000019_gtFine_polygons.json
3,False,False,/data/crops/aachen_000028_000019_leftImg8bit_rF_128,879,911,48,144,r,,aachen_000028_000019_gtFine_polygons.json
4,False,False,/data/crops/aachen_000028_000019_leftImg8bit_rF_129,966,998,412,508,r,,aachen_000028_000019_gtFine_polygons.json
5,True,False,/data/crops/aachen_000028_000019_leftImg8bit_rT_130,919,951,288,384,r,,aachen_000028_000019_gtFine_polygons.json
6,False,False,/data/crops/aachen_000028_000019_leftImg8bit_gF_131,1101,1133,-46,50,g,,aachen_000028_000019_gtFine_polygons.json
7,False,False,/data/crops/aachen_000028_000019_leftImg8bit_gF_132,1113,1145,91,187,g,,aachen_000028_000019_gtFine_polygons.json
8,False,False,/data/crops/aachen_000028_000019_leftImg8bit_gF_133,1061,1093,123,219,g,,aachen_000028_000019_gtFine_polygons.json
9,False,False,/data/crops/aachen_000028_000019_leftImg8bit_gF_134,1101,1133,78,174,g,,aachen_000028_000019_gtFine_polygons.json
10,False,False,/data/crops/aachen_000028_000019_leftImg8bit_gF_135,1053,1085,94,190,g,,aachen_000028_000019_gtFine_polygons.json
11,False,False,/data/crops/aachen_000028_000019_leftImg8bit_gF_136,1134,1166,117,213,g,,aachen_000028_000019_gtFine_polygons.json
12,False,False,/data/crops/aachen_000028_000019_leftImg8bit_gF_137,1066,1098,44,140,g,,aachen_000028_000019_gtFine_polygons.json
13,False,False,/data/crops/aachen_000028_000019_leftImg8bit_gF_138,1127,1159,-60,36,g,,aachen_000028_000019_gtFine_polygons.json
14,False,False,/data/crops/aachen_000028_000019_leftImg8bit_gF_139,884,916,44,140,g,,aachen_000028_000019_gtFine_polygons.json
15,False,False,/data/crops/aachen_000028_000019_leftImg8bit_gF_140,1173,1205,-9,87,g,,aachen_000028_000019_gtFine_polygons.json
16,False,False,/data/crops/aachen_000028_000019_leftImg8bit_gF_141,1097,1129,90,186,g,,aachen_000028_000019_gtFine_polygons.json
17,False,False,/data/crops/aachen_000028_000019_leftImg8bit_gF_142,1119,1151,-42,54,g,,aachen_000028_000019_gtFine_polygons.json
18,False,False,/data/crops/aachen_000028_000019_leftImg8bit_gF_143,1110,1142,82,178,g,,aachen_000028_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000029_000019_leftImg8bit_rF_144,837,869,427,523,r,,aachen_000029_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000029_000019_leftImg8bit_rF_145,818,850,430,526,r,,aachen_000029_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000029_000019_leftImg8bit_rF_146,794,826,459,555,r,,aachen_000029_000019_gtFine_polygons.json
3,False,False,/data/crops/aachen_000029_000019_leftImg8bit_rF_147,716,748,459,555,r,,aachen_000029_000019_gtFine_polygons.json
4,True,False,/data/crops/aachen_000029_000019_leftImg8bit_rT_148,915,947,416,512,r,,aachen_000029_000019_gtFine_polygons.json
5,False,False,/data/crops/aachen_000029_000019_leftImg8bit_rF_149,865,897,430,526,r,,aachen_000029_000019_gtFine_polygons.json
6,False,False,/data/crops/aachen_000029_000019_leftImg8bit_gF_150,1639,1671,230,326,g,,aachen_000029_000019_gtFine_polygons.json
7,False,False,/data/crops/aachen_000029_000019_leftImg8bit_gF_151,646,678,213,309,g,,aachen_000029_000019_gtFine_polygons.json
8,False,False,/data/crops/aachen_000029_000019_leftImg8bit_gF_152,904,936,383,479,g,,aachen_000029_000019_gtFine_polygons.json
9,True,False,/data/crops/aachen_000029_000019_leftImg8bit_gT_153,1105,1137,355,451,g,,aachen_000029_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000030_000019_leftImg8bit_rF_154,808,840,421,517,r,,aachen_000030_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000030_000019_leftImg8bit_rF_155,1232,1264,353,449,r,,aachen_000030_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000030_000019_leftImg8bit_rF_156,747,779,428,524,r,,aachen_000030_000019_gtFine_polygons.json
3,False,False,/data/crops/aachen_000030_000019_leftImg8bit_gF_157,688,720,414,510,g,,aachen_000030_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000031_000019_leftImg8bit_gF_158,1890,1922,242,338,g,,aachen_000031_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000031_000019_leftImg8bit_gF_159,494,526,143,239,g,,aachen_000031_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000031_000019_leftImg8bit_gF_160,454,486,97,193,g,,aachen_000031_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000032_000019_leftImg8bit_gF_161,973,1005,253,349,g,,aachen_000032_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000032_000019_leftImg8bit_gF_162,1382,1414,-62,34,g,,aachen_000032_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000033_000019_leftImg8bit_rF_163,994,1026,410,506,r,,aachen_000033_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000033_000019_leftImg8bit_gF_164,1251,1283,-14,82,g,,aachen_000033_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000033_000019_leftImg8bit_gF_165,1141,1173,-26,70,g,,aachen_000033_000019_gtFine_polygons.json
3,False,False,/data/crops/aachen_000033_000019_leftImg8bit_gF_166,1093,1125,-49,47,g,,aachen_000033_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000034_000019_leftImg8bit_rF_167,1003,1035,411,507,r,,aachen_000034_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000034_000019_leftImg8bit_rF_168,1099,1131,4,100,r,,aachen_000034_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000034_000019_leftImg8bit_gF_169,1202,1234,36,132,g,,aachen_000034_000019_gtFine_polygons.json
3,False,False,/data/crops/aachen_000034_000019_leftImg8bit_gF_170,1195,1227,50,146,g,,aachen_000034_000019_gtFine_polygons.json
4,False,False,/data/crops/aachen_000034_000019_leftImg8bit_gF_171,1246,1278,386,482,g,,aachen_000034_000019_gtFine_polygons.json
5,False,False,/data/crops/aachen_000034_000019_leftImg8bit_gF_172,1119,1151,56,152,g,,aachen_000034_000019_gtFine_polygons.json
6,False,False,/data/crops/aachen_000034_000019_leftImg8bit_gF_173,1183,1215,49,145,g,,aachen_000034_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000035_000019_leftImg8bit_rF_174,66,98,188,284,r,,aachen_000035_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000035_000019_leftImg8bit_rF_175,1260,1292,210,306,r,,aachen_000035_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000035_000019_leftImg8bit_rF_176,104,136,415,511,r,,aachen_000035_000019_gtFine_polygons.json
3,False,False,/data/crops/aachen_000035_000019_leftImg8bit_rF_177,161,193,413,509,r,,aachen_000035_000019_gtFine_polygons.json
4,True,False,/data/crops/aachen_000035_000019_leftImg8bit_rT_178,890,922,298,394,r,,aachen_000035_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000036_000019_leftImg8bit_rF_179,327,359,422,518,r,,aachen_000036_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000036_000019_leftImg8bit_gF_180,450,482,424,520,g,,aachen_000036_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000036_000019_leftImg8bit_gF_181,435,467,-1,95,g,,aachen_000036_000019_gtFine_polygons.json
3,False,False,/data/crops/aachen_000036_000019_leftImg8bit_gF_182,205,237,407,503,g,,aachen_000036_000019_gtFine_polygons.json
4,False,False,/data/crops/aachen_000036_000019_leftImg8bit_gF_183,1178,1210,380,476,g,,aachen_000036_000019_gtFine_polygons.json
5,False,False,/data/crops/aachen_000036_000019_leftImg8bit_gF_184,1878,1910,331,427,g,,aachen_000036_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000037_000019_leftImg8bit_gF_185,1356,1388,-15,81,g,,aachen_000037_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000038_000019_leftImg8bit_gF_186,1123,1155,360,456,g,,aachen_000038_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000039_000019_leftImg8bit_gF_187,817,849,288,384,g,,aachen_000039_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000041_000019_leftImg8bit_rF_188,1040,1072,390,486,r,,aachen_000041_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000041_000019_leftImg8bit_rF_189,888,920,21,117,r,,aachen_000041_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000041_000019_leftImg8bit_rF_190,875,907,142,238,r,,aachen_000041_000019_gtFine_polygons.json
3,False,False,/data/crops/aachen_000041_000019_leftImg8bit_rF_191,732,764,-23,73,r,,aachen_000041_000019_gtFine_polygons.json
4,False,False,/data/crops/aachen_000041_000019_leftImg8bit_gF_192,893,925,43,139,g,,aachen_000041_000019_gtFine_polygons.json
5,False,False,/data/crops/aachen_000041_000019_leftImg8bit_gF_193,873,905,141,237,g,,aachen_000041_000019_gtFine_polygons.json
6,False,False,/data/crops/aachen_000041_000019_leftImg8bit_gF_194,50,82,33,129,g,,aachen_000041_000019_gtFine_polygons.json
7,False,False,/data/crops/aachen_000041_000019_leftImg8bit_gF_195,874,906,-8,88,g,,aachen_000041_000019_gtFine_polygons.json
8,False,False,/data/crops/aachen_000041_000019_leftImg8bit_gF_196,1534,1566,-23,73,g,,aachen_000041_000019_gtFine_polygons.json
9,False,False,/data/crops/aachen_000041_000019_leftImg8bit_gF_197,824,856,-62,34,g,,aachen_000041_000019_gtFine_polygons.json
10,False,False,/data/crops/aachen_000041_000019_leftImg8bit_gF_198,778,810,-9,87,g,,aachen_000041_000019_gtFine_polygons.json
0,False,False,/data/crops/aachen_000042_000019_leftImg8bit_rF_199,1090,1122,390,486,r,,aachen_000042_000019_gtFine_polygons.json
1,False,False,/data/crops/aachen_000042_000019_leftImg8bit_rF_200,794,826,152,248,r,,aachen_000042_000019_gtFine_polygons.json
2,False,False,/data/crops/aachen_000042_000019_leftImg8bit_rF_201,1028,1060,389,485,r,,aachen_000042_000019_gtFine_polygons.json
3,False,False,/data/crops/aachen_000042_000019_leftImg8bit_gF_202,832,864,112,208,g,,aachen_000042_000019_gtFine_polygons.json
4,False,False,/data/crops/aachen_000042_000019_leftImg8bit_gF_203,828,860,344,440,g,,aachen_000042_000019_gtFine_polygons.json
